time_step,p_value,p_corr,signif
time_97,1.5151226826299784e-70,1.0181624427273456e-67,True
time_98,1.2255514839585344e-66,8.235705972201352e-64,True
time_99,4.496074125332647e-63,3.021361812223539e-60,True
time_100,1.6755722548542188e-66,1.125984555262035e-63,True
time_101,9.024680482137355e-62,6.064585283996303e-59,True
time_102,1.8781480378355346e-58,1.2621154814254792e-55,True
time_103,7.603027506093629e-54,5.1092344840949186e-51,True
time_104,5.542598732873313e-46,3.724626348490866e-43,True
time_105,7.493302578904346e-41,5.035499333023721e-38,True
time_106,2.4124535486143818e-36,1.6211687846688645e-33,True
time_107,1.8299137467455906e-29,1.229702037813037e-26,True
time_108,1.5438089980577504e-23,1.0374396466948083e-20,True
time_109,3.512336921851615e-24,2.360290411484285e-21,True
time_110,1.110516967738288e-22,7.462674023201296e-20,True
time_111,3.8675798763913256e-17,2.5990136769349708e-14,True
time_112,2.440930146159207e-16,1.6403050582189872e-13,True
time_113,1.0075667950261006e-13,6.770848862575396e-11,True
time_114,7.405004197358089e-12,4.976162820624635e-09,True
time_115,1.4908905548843705e-11,1.001878452882297e-08,True
time_116,7.697216263789912e-12,5.172529329266821e-09,True
time_117,3.207360645057804e-10,2.1553463534788443e-07,True
time_118,8.187280900301763e-11,5.501852765002785e-08,True
time_119,1.1559398650874907e-10,7.767915893387938e-08,True
time_120,1.9993967551531778e-11,1.3435946194629354e-08,True
time_121,6.293288987603946e-11,4.229090199669852e-08,True
time_122,5.831061700446315e-10,3.918473462699924e-07,True
time_123,1.214460758915337e-12,8.161176299911064e-10,True
time_124,5.481882501401927e-14,3.6838250409420944e-11,True
time_125,7.892256600148245e-15,5.3035964352996205e-12,True
time_126,1.2482702600736898e-16,8.388376147695196e-14,True
time_127,6.16823159918423e-19,4.145051634651803e-16,True
time_128,2.8434246524645245e-20,1.9107813664561603e-17,True
time_129,9.045177168016912e-24,6.078359056907365e-21,True
time_130,1.2306112029752349e-23,8.269707283993578e-21,True
time_131,6.848367122222348e-27,4.602102706133418e-24,True
time_132,2.1814297752845962e-26,1.4659208089912486e-23,True
time_133,4.385427676199769e-29,2.947007398406245e-26,True
time_134,2.4985668456079115e-32,1.6790369202485165e-29,True
time_135,1.3957617345004499e-33,9.379518855843023e-31,True
time_136,1.8666258254064336e-36,1.2543725546731235e-33,True
time_137,2.2689343188687373e-33,1.5247238622797914e-30,True
time_138,2.0688292930607507e-35,1.3902532849368244e-32,True
time_139,3.1171514471842097e-32,2.094725772507789e-29,True
time_140,9.855391005167745e-35,6.622822755472724e-32,True
time_141,2.089893987418112e-27,1.4044087595449712e-24,True
time_142,2.3663856923201186e-25,1.5902111852391197e-22,True
time_143,1.5279225041180323e-26,1.0267639227673176e-23,True
time_144,2.0109397888265831e-25,1.351351538091464e-22,True
time_145,3.10375129799603e-20,2.0857208722533323e-17,True
time_146,1.1897701098988663e-18,7.995255138520382e-16,True
time_147,3.6184021794686914e-19,2.431566264602961e-16,True
time_148,3.4540126277866403e-15,2.321096485872622e-12,True
