source,start,pair_idx,pipeline,mean_mag,median_mag,p95_mag,std_mag,nonzero_frac,smoothness
D2013.02.19_S0675_I141_1,13,4,nl_clahe,0.20170529186725616,0.09094825387001038,0.8778154850006104,0.30620062351226807,0.667276,47.63722229003906
D2013.02.19_S0675_I141_1,24,0,raw_unmasked,0.19820159673690796,0.09502857178449631,0.6868483424186707,0.3628808259963989,0.77138,45.341312408447266
D2013.02.19_S0675_I141_1,24,0,raw_masked,0.18523761630058289,0.058912914246320724,0.6870373487472534,0.36446183919906616,0.65754,46.02039337158203
D2013.02.19_S0675_I141_1,24,0,nl_means,0.1471802294254303,0.006933582480996847,0.6315545439720154,0.45244207978248596,0.548668,58.236175537109375
D2013.02.19_S0675_I141_1,24,0,bilateral,0.15107062458992004,0.014254213310778141,0.6542632579803467,0.39801809191703796,0.585248,49.66341018676758
D2013.02.19_S0675_I141_1,24,0,nl_clahe,0.2125130444765091,0.10116134583950043,0.724229097366333,0.36618590354919434,0.667908,51.758644104003906
D2013.02.19_S0675_I141_1,24,1,raw_unmasked,0.17452166974544525,0.08415667712688446,0.6846028566360474,0.29864537715911865,0.774312,40.761985778808594
D2013.02.19_S0675_I141_1,24,1,raw_masked,0.16551512479782104,0.05278078839182854,0.6908313035964966,0.30224308371543884,0.657348,44.20565414428711
D2013.02.19_S0675_I141_1,24,1,nl_means,0.14130379259586334,0.0061874110251665115,0.7207144498825073,0.3205033540725708,0.54642,50.39081954956055
D2013.02.19_S0675_I141_1,24,1,bilateral,0.13742297887802124,0.013451983220875263,0.651353120803833,0.2899813950061798,0.582752,44.650238037109375
D2013.02.19_S0675_I141_1,24,1,nl_clahe,0.18838785588741302,0.08944889158010483,0.6995826959609985,0.30574747920036316,0.667616,47.167789459228516
D2013.02.19_S0675_I141_1,24,2,raw_unmasked,0.20603162050247192,0.10804213583469391,0.7368350028991699,0.33136454224586487,0.771996,40.453880310058594
D2013.02.19_S0675_I141_1,24,2,raw_masked,0.1925668567419052,0.06675240397453308,0.7337182760238647,0.3346153199672699,0.653936,43.034637451171875
D2013.02.19_S0675_I141_1,24,2,nl_means,0.14807626605033875,0.006573781371116638,0.6988476514816284,0.341096967458725,0.548008,50.074134826660156
D2013.02.19_S0675_I141_1,24,2,bilateral,0.15267373621463776,0.01672549545764923,0.7315422296524048,0.31346064805984497,0.583984,42.314388275146484
D2013.02.19_S0675_I141_1,24,2,nl_clahe,0.21542046964168549,0.10002663731575012,0.7735646963119507,0.3412970006465912,0.665888,46.446353912353516
D2013.02.19_S0675_I141_1,24,3,raw_unmasked,0.1987612545490265,0.10576488077640533,0.7854876518249512,0.3553580045700073,0.77512,43.284576416015625
D2013.02.19_S0675_I141_1,24,3,raw_masked,0.18662787973880768,0.06215915456414223,0.7870162725448608,0.3579440116882324,0.657124,44.751712799072266
D2013.02.19_S0675_I141_1,24,3,nl_means,0.14589837193489075,0.0061937365680933,0.7542338371276855,0.35507500171661377,0.545564,52.407283782958984
D2013.02.19_S0675_I141_1,24,3,bilateral,0.14878927171230316,0.014994649216532707,0.7277196645736694,0.3234874904155731,0.579148,43.83600997924805
D2013.02.19_S0675_I141_1,24,3,nl_clahe,0.21219144761562347,0.0990230068564415,0.8230882883071899,0.3604101240634918,0.667204,48.69205856323242
D2013.02.19_S0675_I141_1,24,4,raw_unmasked,0.186564639210701,0.10636378824710846,0.6730989813804626,0.2404620349407196,0.770328,37.27554702758789
D2013.02.19_S0675_I141_1,24,4,raw_masked,0.17167867720127106,0.061906423419713974,0.6743237972259521,0.24323156476020813,0.652888,39.09897994995117
D2013.02.19_S0675_I141_1,24,4,nl_means,0.13273373246192932,0.007094120606780052,0.7061365246772766,0.25751417875289917,0.546648,47.425106048583984
D2013.02.19_S0675_I141_1,24,4,bilateral,0.13822109997272491,0.01774340495467186,0.6818063259124756,0.2413785755634308,0.579596,39.141273498535156
D2013.02.19_S0675_I141_1,24,4,nl_clahe,0.19666318595409393,0.10016144067049026,0.6899695992469788,0.25201794505119324,0.667648,43.632572174072266
D2013.02.19_S0675_I141_1,45,0,raw_unmasked,0.4408741295337677,0.12226560711860657,2.45573353767395,0.8302359580993652,0.768128,87.97290802001953
D2013.02.19_S0675_I141_1,45,0,raw_masked,0.42790570855140686,0.077519990503788,2.461536169052124,0.8397125601768494,0.653272,88.79612731933594
