id,n,mean,std,var
D2013.04.26_S0732_I141_5,300,0.02506614944498875,0.29863590475029395,0.08918340360602664
D2013.04.26_S0732_I141_6,300,0.08506935573198869,0.39399386308516604,0.15523116414877255
D2013.04.26_S0732_I141_7,300,0.16650931540950326,0.35877615954768965,0.12872033265978927
D2013.05.03_S0739_I141_1,300,0.008875569336551904,0.35797743136727117,0.12814784136830934
D2013.05.03_S0739_I141_2,300,-0.05245348808187064,0.34519186214996384,0.11915742169455963
D2013.05.03_S0739_I141_3,300,0.10608687103407964,0.5892005191733447,0.3471572517941389
D2013.05.03_S0739_I141_4,300,0.14900071945567864,0.31783448160412,0.10101875769655967
D2013.05.03_S0739_I141_5,300,0.03514802640551671,0.24926245778737507,0.062131772862202936
D2013.05.03_S0739_I141_6,300,0.019527892773711072,0.2654719055305855,0.07047533262604011
D2013.05.03_S0739_I141_7,300,0.014428483329765563,0.2838799907615363,0.08058784915476994
D2013.05.04_S0741_I141_1,300,0.3139448099196299,4.427030045479601,19.59859502357912
D2013.05.04_S0741_I141_2,300,0.029304602936861716,3.246158724608724,10.537546465353339
D2013.05.04_S0741_I141_3,300,0.21149078340193297,1.0801001367324379,1.1666163053694312
D2013.05.04_S0741_I141_4,300,0.18340385722066316,0.5380268566810539,0.28947289851009533
D2013.05.13_S0749_I141_1,300,0.013864276594685556,1.12394047224751,1.2632421851559559
D2013.05.13_S0749_I141_10,300,0.0651323642303376,0.6343137771859225,0.40235396792787215
D2013.05.13_S0749_I141_11,300,0.04397053656165827,0.6987034707262147,0.4881865400048584
D2013.05.13_S0749_I141_12,300,0.5692893841576204,6.063467359690479,36.76563642203183
D2013.05.13_S0749_I141_2,300,0.18052399632431707,1.0609353230401923,1.1255837596743972
D2013.05.13_S0749_I141_3,300,0.5512999369314137,1.5526795949644507,2.410813924618971
D2013.05.13_S0749_I141_4,300,0.14774649889271677,1.2961497619700735,1.6800042054550783
D2013.05.13_S0749_I141_5,300,0.04022889077892394,0.41066014368544285,0.16864175361174857
D2013.05.13_S0749_I141_6,300,0.17924812172695126,1.0619175213674368,1.1276688221871605
D2013.05.13_S0749_I141_7,300,0.3642555015077111,1.9856754342962137,3.942906930367457
D2013.05.13_S0749_I141_8,300,0.4103547506958602,3.067827905316109,9.411568056636225
D2013.05.13_S0749_I141_9,300,0.2256984820487289,1.5266654995026836,2.3307075473717784
D2013.06.22_S0792_I141_1,300,0.06809468020671451,0.4223605201775006,0.1783884090046089
D2013.06.22_S0792_I141_2,300,0.04570764036243055,0.46423215166863013,0.215511490642886
D2013.06.22_S0792_I141_3,300,0.19054850865504017,1.0011950357380415,1.0023914995864982
D2013.06.22_S0792_I141_4,300,0.3046570550080882,3.151844346363572,9.934122783704014
D2013.06.22_S0792_I141_5,300,0.00026732920763562117,0.7734758667571477,0.598264916455721
D2013.06.22_S0792_I141_6,300,0.07118866505227944,0.4506608933035134,0.2030952407531207
D2013.06.22_S0792_I141_7,300,0.07837893713967894,1.48863800649358,2.21604311437718
D2013.06.22_S0792_I141_8,300,0.36132204688704256,3.8661810900835607,14.947356221319708
D2013.06.22_S0795_I141_1,300,-0.2445647199180092,3.764286778267617,14.169854949040394
D2013.06.22_S0795_I141_2,300,0.082865721582786,2.191333852349715,4.801944052453843
D2013.06.22_S0795_I141_3,300,0.3532549292760449,2.020009903723723,4.080440011141924
D2013.06.22_S0795_I141_4,300,0.0032137398342056045,2.3967706033345606,5.744509325008714
D2013.06.22_S0795_I141_5,300,0.014726321299552947,0.3528323943343169,0.1244906984916869
D2013.07.15_S0811_I141_1,300,0.06310221800929593,1.095068357908659,1.1991747084927669
D2013.07.15_S0811_I141_10,300,0.012835389777565709,2.3083298537539045,5.328386713731522
D2013.07.15_S0811_I141_11,300,0.13792095595111153,1.760781661393194,3.1003520590985763
D2013.07.15_S0811_I141_2,300,0.31196307571785303,1.5104243658401417,2.2813817649235943
D2013.07.15_S0811_I141_3,300,0.21548005617177204,1.359622104240462,1.8485722663392614
D2013.07.15_S0811_I141_4,300,0.2523543581858697,0.8837537909696004,0.78102076305314
D2013.07.15_S0811_I141_5,300,-0.043096753261783555,1.4582266791529708,2.126425047793501
D2013.07.15_S0811_I141_6,300,0.20615825549232492,0.7062410918855841,0.4987764798677421
D2013.07.15_S0811_I141_7,300,0.2296115279938528,0.6600487940180121,0.43566441048463217
D2013.07.15_S0811_I141_8,300,0.2009445608177674,1.709120239662471,2.921091993623902
D2013.07.15_S0811_I141_9,300,0.12192782955541447,1.3399131909588256,1.7953673593054622
D2013.07.16_S0812_I141_1,300,0.06845836048015355,1.0511868894167344,1.10499387648163
D2013.07.16_S0812_I141_2,300,0.20058750885007395,1.2749808060892927,1.6255760558961023
D2013.07.16_S0812_I141_3,300,0.2748950891939806,1.9104819039177345,3.649941105197132
D2013.07.16_S0812_I141_4,300,0.18125013350439992,2.1376975330107797,4.569750742640374
D2013.07.16_S0812_I141_5,300,0.00345565305770856,0.26477135844040595,0.07010387225037791
D2013.07.16_S0812_I141_6,300,0.16806952942154021,1.1934712032954446,1.4243735130954764
D2013.07.16_S0812_I141_7,300,0.08033980912099643,1.4179493726037669,2.0105804232674163
D2013.07.16_S0812_I141_8,300,0.301695608523483,0.938490817506554,0.8807650145441202
D2013.07.16_S0812_I141_9,300,0.005640166101379158,1.5307226219082413,2.3431117452216403
D2013.09.21_S0829_I141_1,300,0.0879868994000239,1.406636123988655,1.9786251853098267
D2013.09.21_S0829_I141_10,300,0.021903156306091163,0.7747193769903103,0.6001901130842546
D2013.09.21_S0829_I141_11,300,0.09870723264942657,0.7800317301349854,0.6084495000173787
D2013.09.21_S0829_I141_12,300,-0.3510452424775315,4.313348889724714,18.60497864448942
D2013.09.21_S0829_I141_2,300,0.029091411319378556,0.6362111487686138,0.4047646258174793
D2013.09.21_S0829_I141_3,300,-0.042976585767398136,0.9875233798845059,0.9752024258185182
D2013.09.21_S0829_I141_4,300,-0.02442117696712297,1.2188437042978637,1.4855799755065384
D2013.09.21_S0829_I141_5,300,-0.03867171420173,0.19744198803950558,0.038983338640992266
D2013.09.21_S0829_I141_6,300,-0.005687315406005998,0.4744607937010609,0.2251130447594407
D2013.09.21_S0829_I141_7,300,0.018270999750571053,0.24988621391273946,0.06244311990364338
D2013.09.21_S0829_I141_8,300,-0.16314339975949774,1.0542160082867365,1.1113713921280202
D2013.09.21_S0829_I141_9,300,0.07680857728143353,0.40507359660740744,0.16408461866846064
D2013.09.23_S0830_I141_1,300,-0.06345453864398921,0.2618461734988822,0.0685634185760067
D2013.09.23_S0830_I141_10,300,-0.006428783168572109,0.4456835746954946,0.1986338487533545
D2013.09.23_S0830_I141_2,300,0.011150807423946741,0.6024031981734413,0.3628896131695905
D2013.09.23_S0830_I141_3,300,0.05768397260742244,0.34921443546327746,0.12195072193593556
D2013.09.23_S0830_I141_4,300,0.12381622959997209,0.6346481213958161,0.4027782379912385
D2013.09.23_S0830_I141_5,300,-0.0171259793583637,0.14660834392441166,0.021494006508258577
D2013.09.23_S0830_I141_6,300,0.00840555754907579,0.21245563015383304,0.04513739478406229
D2013.09.23_S0830_I141_7,300,0.04757144026315414,0.26617237187736864,0.07084773155082422
D2013.09.23_S0830_I141_8,300,-0.021468854661541917,0.36279230061038953,0.13161825338217925
D2013.09.23_S0830_I141_9,300,-0.020764457281451244,0.25093081809217804,0.06296627546840974
D2013.09.23_S0831_I141_1,300,-0.004955201983297191,0.5438812354793127,0.2958067983065035
D2013.09.23_S0831_I141_2,300,0.022038832128109045,0.5436377491119242,0.29554200225947946
D2013.09.23_S0831_I141_3,300,0.08394447317576927,0.5525334493398565,0.3052932126393998
D2013.09.23_S0831_I141_4,300,-0.04466280828269597,1.341943876979501,1.8008133689627739
D2013.09.23_S0831_I141_5,300,0.036100194298675836,1.7437481797248457,3.0406577142937126
D2013.09.27_S0834_I141_1,300,-0.018011976533869413,0.535078918162602,0.2863094486620605
D2013.09.27_S0834_I141_2,300,0.0485040020498675,1.0161775928749845,1.0326169002611978
D2013.09.27_S0834_I141_3,300,-0.5389764267400661,5.319903536702174,28.3013736398163
D2013.09.27_S0834_I141_4,300,0.1439483693577812,0.6165032917719624,0.38007630876566545
D2013.10.01_S0838_I141_1,300,0.029094064170806344,0.6934132596524553,0.48082194866184336
D2013.10.01_S0838_I141_2,300,0.0793403803149765,0.8416860580770295,0.7084354203612486
D2013.10.01_S0838_I141_3,300,0.19237852543427367,0.5758042537494615,0.3315505386359743
D2013.10.01_S0838_I141_4,300,0.06876364055192126,0.512338111620606,0.2624903406189686
D2013.10.01_S0838_I141_5,300,-0.033817100118636596,0.11402054233565688,0.013000684074517321
D2013.10.01_S0838_I141_6,300,0.061682689971410375,0.5590207116091682,0.3125041560080208
D2013.10.03_S0841_I141_1,300,-0.01500417194861195,0.544493960896573,0.29647367345283876
D2013.10.03_S0841_I141_10,300,0.09825775135143093,0.7462123170511438,0.5568328221188368
D2013.10.03_S0841_I141_2,300,0.16558111434254855,2.096943324272127,4.397171305209438
D2013.10.03_S0841_I141_3,300,0.10645103127385978,1.2005132003646113,1.4412319442496813
D2013.10.03_S0841_I141_4,300,0.087735184741236,1.666277505576299,2.776480725589573
D2013.10.03_S0841_I141_5,300,-0.0749011385509177,0.26045842705890593,0.06783859222599943
