id,n,mean,std,var
D2013.04.26_S0732_I141_4,300,6.872371827483903e-05,0.0001656925829918497,2.7454032058510997e-08
D2013.04.26_S0732_I141_5,300,2.1063852038973133e-05,7.702039040452383e-05,5.932140538065267e-09
D2013.04.26_S0732_I141_6,300,3.653911907899025e-05,0.00010161390733367982,1.0325386163617669e-08
D2013.04.26_S0732_I141_7,300,5.75430820623953e-05,9.253100326065729e-05,8.561986564423769e-09
D2013.05.03_S0739_I141_1,300,1.68881826670327e-05,9.23250054040554e-05,8.523906622858859e-09
D2013.05.03_S0739_I141_2,300,1.0709688947703928e-06,8.902751331754797e-05,7.925898127506182e-09
D2013.05.03_S0739_I141_3,300,4.195969044415696e-05,0.00015195913582870837,2.309157896180784e-08
D2013.05.03_S0739_I141_4,300,5.302748673595185e-05,8.19718442015123e-05,6.719383241797007e-09
D2013.05.03_S0739_I141_5,300,2.3664042060194865e-05,6.428661626614364e-05,4.132769030950404e-09
D2013.05.03_S0739_I141_6,300,1.9635495018945903e-05,6.846715173949103e-05,4.687750867318489e-09
D2013.05.03_S0739_I141_7,300,1.8320319917902358e-05,7.321473194848525e-05,5.360396974288547e-09
D2013.05.04_S0741_I141_1,300,9.556777757296686e-05,0.0011417635221073002,1.3036239404148673e-06
D2013.05.04_S0741_I141_2,300,2.2156980284648854e-05,0.0008372081464667522,7.009174805102948e-07
D2013.05.04_S0741_I141_3,300,6.914413260801666e-05,0.00027856574806928023,7.75988759973977e-08
D2013.05.04_S0741_I141_4,300,6.190030832120404e-05,0.0001387610729002698,1.9254635352433987e-08
D2013.05.13_S0749_I141_1,300,1.8174806862327012e-05,0.0002898724921784975,8.402606172177308e-08
D2013.05.13_S0749_I141_10,300,3.1397222727870636e-05,0.00016359417598723887,2.676305441694368e-08
D2013.05.13_S0749_I141_11,300,2.593943214479329e-05,0.00018020075026586665,3.247231039638124e-08
D2013.05.13_S0749_I141_12,300,0.00016142301628557714,0.0015638127091213013,2.445510189209304e-06
D2013.05.13_S0749_I141_2,300,6.115757107153286e-05,0.00027362300203932457,7.486954724501223e-08
D2013.05.13_S0749_I141_3,300,0.0001567834058888214,0.0004004474568364246,1.6035816568676013e-07
D2013.05.13_S0749_I141_4,300,5.270401405274091e-05,0.00033428653119637133,1.1174748493930253e-07
D2013.05.13_S0749_I141_5,300,2.4974434251513836e-05,0.00010591226335184845,1.1217407528311302e-08
D2013.05.13_S0749_I141_6,300,6.0828513654011355e-05,0.00027387631819259255,7.500823766673018e-08
D2013.05.13_S0749_I141_7,300,0.00010854327397510133,0.0005121202599334006,2.622671606342537e-07
D2013.05.13_S0749_I141_8,300,0.00012043260849030476,0.000791215320069804,6.260216827131623e-07
D2013.05.13_S0749_I141_9,300,7.2808402306066e-05,0.0003937382307969059,1.5502979439107755e-07
D2013.06.22_S0792_I141_1,300,3.2161225747510494e-05,0.00010892987627435257,1.186571794514576e-08
D2013.06.22_S0792_I141_2,300,2.638744395710546e-05,0.00011972887717485625,1.4335004029551813e-08
D2013.06.22_S0792_I141_3,300,6.374296633394394e-05,0.00025821554373407687,6.667526702588497e-08
D2013.06.22_S0792_I141_4,300,9.317239745326352e-05,0.0008128837764976571,6.607800340930929e-07
D2013.06.22_S0792_I141_5,300,1.4668054394180174e-05,0.00019948509967656307,3.97943049929683e-08
D2013.06.22_S0792_I141_6,300,3.295918713433821e-05,0.0001162287500939014,1.3509122348390587e-08
D2013.06.22_S0792_I141_7,300,3.4813611048131555e-05,0.0003839306614086389,1.4740275276967492e-07
D2013.06.22_S0792_I141_8,300,0.00010778671451080394,0.0009971164625426048,9.942412398734779e-07
D2013.06.22_S0795_I141_1,300,-4.847592697994211e-05,0.0009708371721048849,9.425248147406099e-07
D2013.06.22_S0795_I141_2,300,3.597078566770051e-05,0.0005651610745055869,3.1940704013630955e-07
D2013.06.22_S0795_I141_3,300,0.00010570614570459232,0.0005209753714507183,2.7141533765821395e-07
D2013.06.22_S0795_I141_4,300,1.542795530743509e-05,0.0006181447195147834,3.8210289426401025e-07
D2013.06.22_S0795_I141_5,300,1.839713451502689e-05,9.099806261311665e-05,8.280647399340697e-09
D2013.07.15_S0811_I141_1,300,3.0873633125831175e-05,0.00028242616210629216,7.976453704208961e-08
D2013.07.15_S0811_I141_10,300,1.7909449405048386e-05,0.0005953352014628046,3.5442400210075804e-07
D2013.07.15_S0811_I141_11,300,5.016993445527381e-05,0.0004541185062493609,2.0622361771815082e-07
D2013.07.15_S0811_I141_2,300,9.505667378581014e-05,0.0003895495232925389,1.517488310974443e-07
D2013.07.15_S0811_I141_3,300,7.017299531767662e-05,0.00035065651385348865,1.2295999070788187e-07
D2013.07.15_S0811_I141_4,300,7.968314828938598e-05,0.00022792658524724686,5.195052826247049e-08
D2013.07.15_S0811_I141_5,300,3.484139438872565e-06,0.00037608735701276586,1.4144170010484762e-07
D2013.07.15_S0811_I141_6,300,6.776883454469621e-05,0.00018214475805321376,3.3176712886263775e-08
D2013.07.15_S0811_I141_7,300,7.3817605558489e-05,0.0001702314256010517,2.89787382621664e-08
D2013.07.15_S0811_I141_8,300,6.642418444436692e-05,0.000440794646635494,1.9429992050251e-07
D2013.07.15_S0811_I141_9,300,4.604518984422157e-05,0.00034557344054832195,1.194210028124046e-07
D2013.07.16_S0812_I141_1,300,3.2255021557716646e-05,0.0002711088095006239,7.34999865888456e-08
D2013.07.16_S0812_I141_2,300,6.633209812283289e-05,0.00032882690219510573,1.0812713160722962e-07
D2013.07.16_S0812_I141_3,300,8.549656815830531e-05,0.0004927272968853456,2.4278018909593956e-07
D2013.07.16_S0812_I141_4,300,6.134484717667495e-05,0.0005513278743121917,3.039624249935998e-07
D2013.07.16_S0812_I141_5,300,1.5490346502270804e-05,6.828647550624472e-05,4.66304273706496e-09
D2013.07.16_S0812_I141_6,300,5.794547270066156e-05,0.0003078049777411485,9.474390432222894e-08
D2013.07.16_S0812_I141_7,300,3.531933431560219e-05,0.0003656995442095589,1.3373615663507914e-07
D2013.07.16_S0812_I141_8,300,9.240861868192951e-05,0.00024204366590097493,5.858513620278277e-08
D2013.07.16_S0812_I141_9,300,1.60537484401857e-05,0.00039478459242531195,1.558548744164197e-07
D2013.09.21_S0829_I141_1,300,3.7291574991892653e-05,0.0003627817744061994,1.3161061584131053e-07
D2013.09.21_S0829_I141_10,300,2.024809290710176e-05,0.0001998058100871558,3.992236174458457e-08
D2013.09.21_S0829_I141_11,300,4.0056427573252524e-05,0.00020117590493061308,4.047174472465107e-08
D2013.09.21_S0829_I141_12,300,-7.593803480943961e-05,0.0011124443181582632,1.2375323610026031e-06
D2013.09.21_S0829_I141_2,300,2.210199660268586e-05,0.0001640835220361124,2.6923402203775386e-08
D2013.09.21_S0829_I141_3,300,3.5151315171333407e-06,0.00025468952340441806,6.486675333196963e-08
D2013.09.21_S0829_I141_4,300,8.300707555311723e-06,0.00031434873186334455,9.88151252240929e-08
D2013.09.21_S0829_I141_5,300,4.625389471234106e-06,5.09217370019975e-05,2.593023299300601e-09
D2013.09.21_S0829_I141_6,300,1.3132307869507068e-05,0.0001223669189846804,1.4973662861803336e-08
D2013.09.21_S0829_I141_7,300,1.931133308865185e-05,6.444748754628308e-05,4.153478651028312e-09
D2013.09.21_S0829_I141_8,300,-2.747677126521353e-05,0.0002718900414765457,7.392419465411775e-08
D2013.09.21_S0829_I141_9,300,3.4408603721705806e-05,0.00010447145188169613,1.091428425826955e-08
