id,n,mean,std,var,median,q25,q75,p05,p95,range,cv,mad,skew,kurt,ac1
D2019.09.07_S02345_I0141_D_7,577,0.30644433479635064,0.11849767661708359,0.01404169936364692,0.31081151962280273,0.2247679978609085,0.3884768486022949,0.11201978027820587,0.47585526108741755,0.8729873166885227,0.3866858125989893,0.08029037714004517,0.19762449637246737,0.850808230816487,0.23321457561748143
D2015.10.22_S1367_I141_2,545,0.2471740954940062,0.09482163524681261,0.008991142510879575,0.24126872420310974,0.1878071278333664,0.3011496067047119,0.09620087146759033,0.4056520819664,0.7599140955135226,0.3836228673449802,0.05678936839103699,0.7213919480066348,2.3266316993824754,0.27861020121795943
D2013.12.16_S0904_I141_6,540,0.2502738288914164,0.09990283824432208,0.009980577089271183,0.24732567369937897,0.18848374858498573,0.2985188513994217,0.09592413604259492,0.4142013505101201,0.7381782308220863,0.3991741313378229,0.05593414604663849,0.8396758901329596,2.3401152804722587,0.2903220446526759
D2014.10.27_S1148_I141_9,641,0.27441904884319923,0.0960251376785488,0.009220827066184252,0.277302622795105,0.21085743606090546,0.3444969654083252,0.10791973024606705,0.41137248277664185,0.8794877612963319,0.3499215454733857,0.06684760749340057,0.5372825342098047,3.727936352848939,0.03831205535277091
D2020.01.24_S02450_I0141_D_1,660,0.32368753512643955,0.12132154721738848,0.014718917819221024,0.34160618484020233,0.2404986433684826,0.4191693961620331,0.09995524808764458,0.4923360854387283,0.5503179486840963,0.3748106863923493,0.0877247303724289,-0.37073056229325607,-0.6401904419445041,0.38887419781201144
D2019.01.30_S02194_I0141_D_9,676,0.272201313528359,0.10271427023911933,0.010550221310754835,0.2761167883872986,0.196174718439579,0.3411453887820244,0.11109711788594723,0.4234420508146286,0.876240243203938,0.3773467104464143,0.0711338222026825,0.37761917478582,1.6828697114918878,0.18581866861991841
D2018.09.19_S02087_I0141_D_5,631,0.23515728665382946,0.12038155581729466,0.01449171898099243,0.23665165901184082,0.1349097192287445,0.32564736902713776,0.05149069428443909,0.42727339267730713,0.7341427626088262,0.5119193095407077,0.0959496945142746,0.29700376014065427,-0.1368303964975457,0.4494947051012831
D2020.02.01_S02459_I0141_D_1,561,0.3236443282000442,0.12742763646435554,0.016237802534891953,0.346468985080719,0.2361362725496292,0.42196714878082275,0.08703456073999405,0.4946329593658447,0.6042395709082484,0.3937273894866239,0.08849206566810608,-0.4212185311154103,-0.6186612837448031,0.397548607151638
D2015.10.22_S1367_I141_3,545,0.24339543751893788,0.08510996746426645,0.0072437065617684945,0.2470892071723938,0.19084975123405457,0.2916199564933777,0.10519601255655289,0.35296988487243647,0.8670072294771671,0.3496777438880476,0.04953724145889282,1.1280602942002032,8.380919941544064,0.030176782587958566
D2016.07.05_S1559_I141_3,668,0.30643086795120716,0.117043189573721,0.013699108225589991,0.3072587251663208,0.22483094409108162,0.3760920315980911,0.125052247941494,0.5072854101657867,0.9581752382218838,0.38195626425062934,0.07713589072227478,0.489414543002327,1.3703737462271253,0.3202255212635326
D2018.02.21_S01966_I0141_D_3,679,0.2769430055940011,0.09364555271287085,0.008769489542899073,0.28423094749450684,0.2105296403169632,0.3480781614780426,0.12159029692411423,0.4071061968803406,0.9603725746273994,0.3381401617708858,0.06851688027381897,0.3858701289455176,4.287050237012777,0.09633610817034483
D2016.01.18_S1431_I141_4,648,0.2352834322822516,0.10491192286701329,0.011006511559654144,0.2320086508989334,0.16980579122900963,0.29296790808439255,0.08319777809083462,0.38818611949682225,0.9536872843746096,0.44589592156730545,0.06177685409784317,1.2846168341138864,5.277865702405789,0.3266850811526493
D2014.03.01_S0952_I141_4,534,0.241291151134374,0.09009354307107638,0.008116846503099894,0.2451772540807724,0.18998787552118301,0.3000699505209923,0.08838770017027855,0.3586547672748565,0.9719843901693821,0.3733810487766444,0.055055372416973114,1.0164578871354057,9.258762029014784,0.1065211516519833
D2019.11.18_S02408_I0141_D_2,466,0.3156372603436716,0.10296260578350501,0.01060129818972946,0.32672494649887085,0.25354059785604477,0.38463784754276276,0.1424439251422882,0.45205456018447876,0.9183864034712315,0.3262054855988721,0.06545178592205048,0.20498028660293063,3.2635597360640096,0.09475203303893652
D2020.10.28_S02665_I0141_D_1,763,0.2461809379007145,0.11898210207541955,0.014156740614285557,0.22989171743392944,0.15678872913122177,0.3263707756996155,0.07327840775251389,0.4518391966819763,0.735226119402796,0.4833115962999759,0.08321532607078552,0.5047477117189721,0.026037787341076868,0.40261203831736697
D2015.07.16_S1330_I141_7,564,0.24814740426120915,0.10573920619759787,0.01118077972729812,0.24516364187002182,0.17460358142852783,0.3200962767004967,0.077419114112854,0.40814902186393737,0.6165118921780959,0.4261144963913983,0.07282612472772598,0.19397352391713177,0.014284637672542733,0.38918257317519217
D2018.12.17_S02165_I0141_D_11,621,0.22312470426222072,0.10025315965710885,0.010050696021233757,0.22408810257911682,0.15364623069763184,0.28870150446891785,0.06758181750774384,0.3709096610546112,0.9837562087923288,0.4493144763534982,0.0677834153175354,1.2006162501968436,6.9863703964585415,0.3349823323408557
D2016.03.14_S1472_I141_2,555,0.31464727007080473,0.10878982402201752,0.01183522581074154,0.3300662636756897,0.24400590360164642,0.3888573944568634,0.10464697331190112,0.47654657363891595,0.7105262747427332,0.3457516856813557,0.06850963830947876,-0.42387125734378733,0.011436678430935654,0.07609284774197099
