dish_well,day1_meets,day1_details,day1_true,day3_meets,day3_details,day3_true,day5_meets,day5_details,day5_true,selected_final
D2018.07.03_S02058_I0141_D_5,True,Pk:True|Corr:True|Conf:True,0,False,Pk:False|Corr:True|Conf:True,0,False,Pk:True|Corr:False|Conf:False,0,False
D2018.07.03_S02058_I0141_D_6,False,Pk:True|Corr:True|Conf:False,1,True,Pk:True|Corr:True|Conf:True,1,False,Pk:True|Corr:False|Conf:False,1,False
D2018.07.03_S02058_I0141_D_7,False,Pk:True|Corr:True|Conf:False,0,False,Pk:True|Corr:True|Conf:False,0,False,Pk:False|Corr:True|Conf:False,0,False
D2018.07.03_S02058_I0141_D_8,False,Pk:False|Corr:False|Conf:True,1,False,Pk:True|Corr:False|Conf:True,1,False,Pk:False|Corr:True|Conf:False,1,False
D2018.07.03_S02058_I0141_D_9,False,Pk:False|Corr:True|Conf:True,0,False,Pk:True|Corr:False|Conf:True,0,False,Pk:False|Corr:False|Conf:False,0,False
D2018.10.13_S02105_I0141_D_1,False,Pk:False|Corr:False|Conf:False,1,False,Pk:False|Corr:True|Conf:False,1,False,Pk:True|Corr:True|Conf:False,1,False
D2018.10.13_S02105_I0141_D_10,False,Pk:False|Corr:True|Conf:False,1,False,Pk:True|Corr:False|Conf:False,1,False,Pk:False|Corr:False|Conf:True,1,False
D2018.10.13_S02105_I0141_D_11,False,Pk:True|Corr:False|Conf:False,0,False,Pk:False|Corr:False|Conf:False,0,False,Pk:False|Corr:False|Conf:True,0,False
D2018.10.13_S02105_I0141_D_2,False,Pk:False|Corr:False|Conf:False,0,False,Pk:True|Corr:False|Conf:False,0,False,Pk:False|Corr:True|Conf:True,0,False
D2018.10.13_S02105_I0141_D_3,False,Pk:False|Corr:True|Conf:False,0,True,Pk:True|Corr:True|Conf:True,0,True,Pk:True|Corr:True|Conf:True,0,False
D2018.10.13_S02105_I0141_D_4,False,Pk:True|Corr:False|Conf:False,0,False,Pk:True|Corr:True|Conf:False,0,False,Pk:False|Corr:True|Conf:True,0,False
D2018.10.13_S02105_I0141_D_5,False,Pk:False|Corr:True|Conf:False,1,True,Pk:True|Corr:True|Conf:True,1,True,Pk:True|Corr:True|Conf:True,1,False
D2018.10.13_S02105_I0141_D_7,False,Pk:False|Corr:True|Conf:False,1,False,Pk:False|Corr:False|Conf:False,1,False,Pk:False|Corr:True|Conf:True,1,False
D2018.10.13_S02105_I0141_D_8,False,Pk:False|Corr:True|Conf:True,1,False,Pk:True|Corr:True|Conf:False,1,False,Pk:False|Corr:True|Conf:True,1,False
D2018.10.13_S02105_I0141_D_9,False,Pk:False|Corr:True|Conf:False,1,True,Pk:True|Corr:True|Conf:True,1,True,Pk:True|Corr:True|Conf:True,1,False
D2019.01.11_S02178_I0141_D_5,False,Pk:False|Corr:True|Conf:False,1,False,Pk:False|Corr:True|Conf:False,1,False,Pk:True|Corr:False|Conf:False,1,False
D2019.01.11_S02178_I0141_D_6,False,Pk:False|Corr:False|Conf:False,0,False,Pk:True|Corr:False|Conf:False,0,False,Pk:False|Corr:True|Conf:True,0,False
D2019.01.11_S02178_I0141_D_7,False,Pk:False|Corr:False|Conf:False,0,False,Pk:False|Corr:False|Conf:False,0,True,Pk:True|Corr:True|Conf:True,0,False
D2019.01.14_S02180_I0141_D_1,False,Pk:False|Corr:True|Conf:False,1,True,Pk:True|Corr:True|Conf:True,1,False,Pk:False|Corr:True|Conf:True,1,False
D2019.01.14_S02180_I0141_D_2,False,Pk:False|Corr:True|Conf:False,1,False,Pk:True|Corr:True|Conf:False,1,False,Pk:True|Corr:True|Conf:False,1,False
D2019.01.14_S02180_I0141_D_3,False,Pk:False|Corr:True|Conf:False,1,False,Pk:False|Corr:True|Conf:True,1,True,Pk:True|Corr:True|Conf:True,1,False
D2019.01.14_S02180_I0141_D_4,False,Pk:True|Corr:False|Conf:False,0,False,Pk:True|Corr:False|Conf:False,0,True,Pk:True|Corr:True|Conf:True,0,False
D2019.01.14_S02180_I0141_D_5,False,Pk:False|Corr:True|Conf:False,1,True,Pk:True|Corr:True|Conf:True,1,False,Pk:False|Corr:True|Conf:True,1,False
D2019.01.14_S02180_I0141_D_6,False,Pk:True|Corr:False|Conf:False,0,False,Pk:False|Corr:False|Conf:True,0,True,Pk:True|Corr:True|Conf:True,0,False
D2019.01.14_S02180_I0141_D_7,False,Pk:False|Corr:False|Conf:False,1,False,Pk:False|Corr:True|Conf:True,1,False,Pk:True|Corr:True|Conf:False,1,False
D2019.01.14_S02180_I0141_D_8,False,Pk:False|Corr:True|Conf:False,0,False,Pk:True|Corr:False|Conf:False,0,False,Pk:False|Corr:True|Conf:True,0,False
D2019.02.02_S02198_I0141_D_1,False,Pk:True|Corr:False|Conf:False,0,False,Pk:True|Corr:True|Conf:False,0,True,Pk:True|Corr:True|Conf:True,0,False
D2019.02.02_S02198_I0141_D_2,False,Pk:True|Corr:True|Conf:False,1,False,Pk:True|Corr:False|Conf:False,1,False,Pk:True|Corr:True|Conf:False,1,False
D2019.02.02_S02198_I0141_D_3,False,Pk:False|Corr:True|Conf:True,0,False,Pk:False|Corr:True|Conf:True,0,False,Pk:True|Corr:True|Conf:False,0,False
D2019.02.02_S02198_I0141_D_4,False,Pk:False|Corr:True|Conf:False,0,False,Pk:False|Corr:True|Conf:False,0,True,Pk:True|Corr:True|Conf:True,0,False
D2019.02.02_S02198_I0141_D_5,False,Pk:False|Corr:False|Conf:True,1,False,Pk:True|Corr:False|Conf:False,1,False,Pk:False|Corr:False|Conf:False,1,False
D2019.02.07_S02201_I0141_D_1,False,Pk:False|Corr:True|Conf:False,1,False,Pk:False|Corr:True|Conf:False,1,False,Pk:True|Corr:False|Conf:False,1,False
D2019.02.07_S02201_I0141_D_2,False,Pk:False|Corr:False|Conf:False,0,False,Pk:True|Corr:False|Conf:True,0,False,Pk:False|Corr:True|Conf:True,0,False
D2019.02.07_S02201_I0141_D_3,False,Pk:False|Corr:True|Conf:False,1,False,Pk:True|Corr:True|Conf:False,1,True,Pk:True|Corr:True|Conf:True,1,False
D2019.02.07_S02201_I0141_D_5,False,Pk:False|Corr:True|Conf:False,1,False,Pk:True|Corr:True|Conf:False,1,False,Pk:True|Corr:False|Conf:True,1,False
D2019.02.07_S02201_I0141_D_6,False,Pk:False|Corr:False|Conf:False,0,False,Pk:True|Corr:False|Conf:True,0,False,Pk:False|Corr:True|Conf:True,0,False
D2019.02.14_S02207_I0141_D_1,True,Pk:True|Corr:True|Conf:True,0,False,Pk:True|Corr:False|Conf:True,0,False,Pk:True|Corr:False|Conf:False,0,False
D2019.02.14_S02207_I0141_D_2,False,Pk:False|Corr:True|Conf:True,0,False,Pk:False|Corr:True|Conf:False,0,False,Pk:True|Corr:False|Conf:True,0,False
D2019.02.14_S02207_I0141_D_3,False,Pk:False|Corr:True|Conf:True,0,False,Pk:False|Corr:True|Conf:False,0,False,Pk:True|Corr:False|Conf:False,0,False
D2019.02.14_S02207_I0141_D_4,False,Pk:False|Corr:False|Conf:True,1,False,Pk:False|Corr:True|Conf:False,1,False,Pk:False|Corr:True|Conf:True,1,False
D2019.02.14_S02207_I0141_D_5,False,Pk:False|Corr:False|Conf:False,1,True,Pk:True|Corr:True|Conf:True,1,False,Pk:False|Corr:True|Conf:True,1,False
D2019.02.14_S02207_I0141_D_6,False,Pk:False|Corr:True|Conf:False,1,False,Pk:False|Corr:True|Conf:False,1,False,Pk:True|Corr:True|Conf:False,1,False
D2019.02.14_S02207_I0141_D_7,False,Pk:False|Corr:True|Conf:False,1,True,Pk:True|Corr:True|Conf:True,1,False,Pk:True|Corr:True|Conf:False,1,False
D2019.03.01_S02221_I0141_D_1,False,Pk:False|Corr:False|Conf:False,0,False,Pk:True|Corr:False|Conf:True,0,False,Pk:False|Corr:True|Conf:True,0,False
D2019.03.01_S02221_I0141_D_10,False,Pk:True|Corr:True|Conf:False,1,False,Pk:False|Corr:True|Conf:True,1,False,Pk:False|Corr:True|Conf:True,1,False
D2019.03.01_S02221_I0141_D_11,False,Pk:False|Corr:True|Conf:False,1,False,Pk:False|Corr:True|Conf:True,1,False,Pk:False|Corr:True|Conf:True,1,False
D2019.03.01_S02221_I0141_D_12,False,Pk:False|Corr:False|Conf:False,1,False,Pk:False|Corr:True|Conf:False,1,False,Pk:False|Corr:True|Conf:False,1,False
D2019.03.01_S02221_I0141_D_2,False,Pk:False|Corr:False|Conf:False,0,False,Pk:False|Corr:True|Conf:False,0,False,Pk:False|Corr:True|Conf:True,0,False
D2019.03.01_S02221_I0141_D_3,False,Pk:False|Corr:True|Conf:False,0,False,Pk:True|Corr:False|Conf:True,0,False,Pk:True|Corr:True|Conf:False,0,False
D2019.03.01_S02221_I0141_D_4,False,Pk:False|Corr:False|Conf:False,1,False,Pk:False|Corr:True|Conf:True,1,False,Pk:True|Corr:True|Conf:False,1,False
D2019.03.01_S02221_I0141_D_5,False,Pk:True|Corr:True|Conf:False,1,False,Pk:False|Corr:True|Conf:True,1,True,Pk:True|Corr:True|Conf:True,1,False
D2019.03.01_S02221_I0141_D_6,False,Pk:True|Corr:True|Conf:False,1,True,Pk:True|Corr:True|Conf:True,1,False,Pk:True|Corr:True|Conf:False,1,False
D2019.03.01_S02221_I0141_D_7,False,Pk:True|Corr:False|Conf:False,1,False,Pk:False|Corr:True|Conf:True,1,False,Pk:False|Corr:True|Conf:True,1,False
D2019.03.01_S02221_I0141_D_8,False,Pk:False|Corr:False|Conf:False,1,True,Pk:True|Corr:True|Conf:True,1,False,Pk:False|Corr:True|Conf:True,1,False
